"productId","language","packageName","version","referenceUrl"
"19","CPP","google-cloud-cpp::pubsub","stable","https://cloud.google.com/cpp/docs/reference/pubsub/latest"
"19","JAVA","com.google.cloud:google-cloud-pubsub","stable","https://cloud.google.com/java/docs/reference/google-cloud-pubsub/latest/history"
"19","NODEJS","@google-cloud/pubsub","stable","https://cloud.google.com/nodejs/docs/reference/pubsub/latest"
"19","PYTHON","google-cloud-pubsub","stable","https://cloud.google.com/python/docs/reference/pubsub/latest"
"19","RUBY","google-cloud-pubsub-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-pubsub-v1/latest"
"19","RUBY","google-cloud-pubsub","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-pubsub/latest"
"20","CPP","google-cloud-cpp::kms::v1","stable","https://cloud.google.com/cpp/docs/reference/kms/latest"
"20","JAVA","com.google.cloud:google-cloud-kms","stable","https://cloud.google.com/java/docs/reference/google-cloud-kms/latest/overview"
"20","NODEJS","@google-cloud/kms","stable","https://cloud.google.com/nodejs/docs/reference/kms/latest"
"20","PYTHON","google-cloud-kms","stable","https://cloud.google.com/python/docs/reference/cloudkms/latest"
"20","RUBY","google-cloud-kms-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-kms-v1/latest"
"20","RUBY","google-cloud-kms","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-kms/latest"
"21","CPP","google-cloud-cpp::composer::v1","stable","https://cloud.google.com/cpp/docs/reference/composer/latest"
"21","JAVA","com.google.cloud:google-cloud-orchestration-airflow","stable","https://cloud.google.com/java/docs/reference/google-cloud-orchestration-airflow/latest/overview"
"21","NODEJS","@google-cloud/orchestration-airflow","stable","https://cloud.google.com/nodejs/docs/reference/orchestration-airflow/latest"
"21","PYTHON","google-cloud-orchestration-airflow","stable","https://cloud.google.com/python/docs/reference/composer/latest"
"21","RUBY","google-cloud-orchestration-airflow-service-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-orchestration-airflow-service-v1/latest"
"21","RUBY","google-cloud-orchestration-airflow-service","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-orchestration-airflow-service/latest"
"23","CPP","google-cloud-cpp::bigquery::datatransfer::v1","stable","https://cloud.google.com/cpp/docs/reference/bigquery/latest"
"23","JAVA","com.google.cloud:google-cloud-bigquerydatatransfer","stable","https://cloud.google.com/java/docs/reference/google-cloud-bigquerydatatransfer/latest/overview"
"23","NODEJS","@google-cloud/bigquery-data-transfer","stable","https://cloud.google.com/nodejs/docs/reference/bigquery-data-transfer/latest"
"23","PYTHON","google-cloud-bigquery-datatransfer","stable","https://cloud.google.com/python/docs/reference/bigquerydatatransfer/latest"
"23","RUBY","google-cloud-bigquery-data_transfer-v1","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-bigquery-data_transfer-v1/latest"
"23","RUBY","google-cloud-bigquery-data_transfer","stable","https://cloud.google.com/ruby/docs/reference/google-cloud-bigquery-data_transfer/latest"
"35","CPP","google-cloud-cpp::redis::cluster::v1","stable","https://cloud.google.com/cpp/docs/reference/redis/latest"
"35","CPP","google-cloud-cpp::redis::v1","stable","https://cloud.google.com/cpp/docs/reference/redis/latest"
"35","JAVA","com.google.cloud:google-cloud-redis","stable","https://cloud.google.com/java/docs/reference/google-cloud-redis/latest/overview"
